basque,english,context
norabide,direction,Technological Sciences > Mechanical engineering and technology
norabide,strike,Earth and Space Sciences > Geology
norabide,direction,Physics > General Physics specialities
norabide,direction,Mathematics > Analysis and functional analysis
noranzko,sense,Physics > Aplied Physics
noranzko,direction of motion; directional sense; sense; sense of motion,Physics > Electro-magnetism
noranzko,sense,Earth and Space Sciences > Geology
noranzko,directional sense,Technological Sciences > Mechanical engineering and technology
noranzko,direction; sense,Physics > General Physics specialities
noranzko,sense,Technological Sciences > Construction technology
normalizazio,normalization,Technological Sciences > Computer technology
normalizazio,normalization,Technological Sciences > Electronic technology
normalizazio,standardization,Technological Sciences > Projects
normalizazio,normalization; standardization,Technological Sciences > Mechanical engineering and technology
normalizazio,normalization; standardization,Technological Sciences > Industrial technology
normalizazio,normalization,Technological Sciences > Environmental technology and engineering
nukleo,nucleus,Technological Sciences > Environmental technology and engineering
nukleo,cell nucleus,Life sciences > Cell biology
nukleo,nucleus,Physics > Electro-magnetism
nukleo,kernel,Mathematics > Algebra
nukleo,nucleus,Life sciences > Microbiology
nukleo,core; nucleus,Physics > Aplied Physics
nukleo,nucleus,Physics > General Physics specialities
nukleo,core,Medical Sciences > Pharmaceutical Technology
nukleo,nucleus,Physics > Mechanics
nukleo,core,Technological Sciences > Electrical technology and engineering
nukleo,core,Earth and Space Sciences > Geology
O<sub>2</sub>,molecular oxygen; O<sub>2</sub>,Technological Sciences > Environmental technology and engineering
O<sub>2</sub>,oxygen,Chemistry > Physical chemistry
objektu,object,Physics > Optics
objektu,statistical unit,Mathematics > Statistics
objektu,object,Technological Sciences > Computer technology
objektu,object,Technological Sciences > Electronic technology
odol-bolumen,blood-volume,Medical Sciences > Pathology
odol-bolumen,blood bolume,Life sciences > Animal Biology
odol-fluxu,blood fluxe,Life sciences > Animal Biology
odol-fluxu,blood flow,Medical Sciences > Pharmacology
odoljario,bleeding; haemorrhage,Medical Sciences > Pharmacology
odoljario,hemorrhage,Life sciences > Microbiology
oin,bottom,Earth and Space Sciences > Geology
oin,ground plan,Technological Sciences > Projects
oinarri,base,Technological Sciences > Industrial technology
oinarri,support,Technological Sciences > Mechanical engineering and technology
oinarri,basis,Mathematics > Algebra
oinarri,basis,Physics > General Physics specialities
oinarri,base; basis; radix,Mathematics > Analysis and functional analysis
oinarri,basis,Technological Sciences > Projects
oinarri,base,Technological Sciences > Electronic technology
oinarri ortonormal,ortonormal base,Mathematics > Analysis and functional analysis
oinarri ortonormal,orthonormal basis,Technological Sciences > Telecommunications technology
oinarrizko eragiketa,unit operation,Technological Sciences > Environmental technology and engineering
oinarrizko eragiketa,elementary operation,Mathematics > Algebra
oinarrizko harmoniko,first harmonic; fundamental frequency,Physics > Electro-magnetism
oinarrizko harmoniko,fundamental harmonic,Technological Sciences > Telecommunications technology
oinarrizko magnitude,fundamental magnitudes,Technological Sciences > Environmental technology and engineering
oinarrizko magnitude,base quantity,Physics > General Physics specialities
oinarrizko magnitude,base quantity,Technological Sciences > Mechanical engineering and technology
oinarrizko matrize,fundamental matrix,Mathematics > Analysis and functional analysis
oinarrizko matrize,elementary matrix,Mathematics > Algebra
oinarrizko partikula,primary particle,Technological Sciences > Environmental technology and engineering
oinarrizko partikula,elementary particle,Physics > General Physics specialities
oinarrizko unitate,base unit,Physics > General Physics specialities
oinarrizko unitate,fundamental unit,Technological Sciences > Environmental technology and engineering
oligosakarido,oligosaccharide,Life sciences > Biochemistry and Molecular Biology
oligosakarido,carbohydrate; sugar,Life sciences > Cell biology
ondare,patrimony,Economic Sciences > General economics
ondare,heritage,Technological Sciences > Projects
ondasun,good,Economic Sciences > General economics
ondasun,good,Mathematics > Analysis and functional analysis
ondasun,belongings,Technological Sciences > Projects
ondasun,good,Economic Sciences > Economic theory
ondasun-merkatu,goods market,Economic Sciences > Economic theory
ondasun-merkatu,product market,Economic Sciences > General economics
onddo,fungus,Life sciences > Cell biology
onddo,fungus,Life sciences > Microbiology
onddo,fungi,Medical Sciences > Pharmaceutical Technology
onddo,fungi,Medical Sciences > Microbiology
onddo,fungi; fungus,Technological Sciences > Environmental technology and engineering
onddo dimorfiko,dimorphic fungus,Life sciences > Microbiology
onddo dimorfiko,dimorphic fungi,Medical Sciences > Microbiology
ondorio,conclusion,Technological Sciences > Projects
ondorio,consequence,Medical Sciences > Pharmacology
ondorio,conclusion,Mathematics > Analysis and functional analysis
ondoz ondoko ebakidurak,successive section views,Technological Sciences > Mechanical engineering and technology
ondoz ondoko ebakidurak,successive sections,Technological Sciences > Industrial technology
ontzi,container,Physics > Fluids (physics of)
ontzi,bottle; box,Medical Sciences > Pharmacology
ontzi,vessel,Chemistry > Physical chemistry
oreka,equilibrium,Medical Sciences > Pharmaceutical Technology
oreka,equilibrium; mechanical equilibrium,Physics > Mechanics
oreka,equilibrium,Technological Sciences > Construction technology
oreka,equilibrium,Physics > Aplied Physics
oreka,equilibrium,Economic Sciences > Economic theory
oreka,equilibrium; mechanical equilibrium,Physics > Electro-magnetism
oreka,equilibrium,Chemistry > Analytical chemistry
oreka,equilibrium,Technological Sciences > Environmental technology and engineering
oreka,equilibrium,Chemistry > Physical chemistry
oreka-egoera,steady state,Life sciences > Biochemistry and Molecular Biology
oreka-egoera,state of equilibrium,Technological Sciences > Construction technology
oreka-egoera,equilibrium state,Physics > Thermodynamics
oreka-egoera,equilibrium state; state of equilibrium,Physics > Electro-magnetism
oreka-posizio,equilibrium position,Physics > Thermodynamics
oreka-posizio,position of equilibrium,Physics > Aplied Physics
oreka-posizio,position of equilibrium,Physics > Electro-magnetism
oreka-posizio,equilibrium position,Physics > General Physics specialities
osagai,component,Technological Sciences > Environmental technology and engineering
osagai,component,Economic Sciences > Organization and management of enterprises
osagai,component,Chemistry > Physical chemistry
osagai,component,Mathematics > Analysis and functional analysis
osagai,ingredient,Medical Sciences > Pharmaceutical Technology
osagai,component,Technological Sciences > Instrumentation technology
osagai,component,Technological Sciences > Construction technology
osagai,ingredient,Medical Sciences > Nutritional sciences
osagai,component,Technological Sciences > Computer technology
osagai,component,Mathematics > Algebra
osagai,component,Technological Sciences > Electronic technology
osagai,component,Physics > Thermodynamics
osagai,component,Physics > Aplied Physics
osagai,component; element,Technological Sciences > Electrical technology and engineering
osagai aktibo,active component; active element,Technological Sciences > Electronic technology
osagai aktibo,active ingredient; active principle,Chemistry > Organic chemistry
osagai lineal,linear element,Technological Sciences > Electrical technology and engineering
osagai lineal,linear component,Technological Sciences > Electronic technology
osmorregulazio,osmorregulation,Life sciences > Animal Biology
osmorregulazio,osmolarity regulation,Life sciences > Human physiology
osotasun,completeness,Mathematics > Analysis and functional analysis
osotasun,integrity,Medical Sciences > Pharmaceutical Technology
oszilazio bortxatu,forced oscillation,Physics > Aplied Physics
oszilazio bortxatu,driven oscillation,Physics > General Physics specialities
oxidatzaile,oxidant; oxidiser; oxidizer; oxidizing agent,Technological Sciences > Environmental technology and engineering
oxidatzaile,oxidizing,Chemistry > Analytical chemistry
oxidatzaile,oxidant; oxidizing agent,Chemistry > Organic chemistry
oxidatzaile,oxidant,Life sciences > Microbiology
oxidazio-maila,oxidation level; oxidation state,Technological Sciences > Environmental technology and engineering
oxidazio-maila,oxidation level,Life sciences > Microbiology
oxidazio-maila,level of oxidation,Chemistry > Analytical chemistry
oxigenoaren presio partzial,oxygen partial pressure,Life sciences > Animal Biology
oxigenoaren presio partzial,oxygen partial pressure,Life sciences > Microbiology
oxigenoaren presio partzial,partial oxygen pressure,Life sciences > Human physiology
pandemia,pandemy,Medical Sciences > Public health
pandemia,pandemic,Medical Sciences > Microbiology
paralelo-elkarketa,parallel connection,Technological Sciences > Electronic technology
paralelo-elkarketa,parallel combination,Technological Sciences > Electrical technology and engineering
paralelo-elkarketa,parallel association,Physics > Electro-magnetism
paralelo-konexio,parallel connection,Physics > Electro-magnetism
paralelo-konexio,parallel conexión,Technological Sciences > Telecommunications technology
paralelo-konexio,parallel combination,Technological Sciences > Electrical technology and engineering
paralelo-konexio,parallel connection,Technological Sciences > Electronic technology
paralelo-konexio,parallel connection,Physics > Aplied Physics
parazetamol,acetaminophen,Medical Sciences > Pharmacology
parazetamol,paracetamol,Medical Sciences > Pharmaceutical Technology
pare,torque,Technological Sciences > Electrical technology and engineering
pare,couple,Technological Sciences > Construction technology
pareta,cell wall,Life sciences > Cell biology
pareta,wall,Technological Sciences > Construction technology
partikula-sistema,system of particles,Physics > Aplied Physics
partikula-sistema,particle system,Physics > Mechanics
partikula-sistema,particle system,Technological Sciences > Construction technology
partikula-sistema,particle system,Physics > Electro-magnetism
pastilla,pill,Chemistry > Physical chemistry
pastilla,pill or lozenge,Medical Sciences > Pharmaceutical Technology
patente,patent; patent of invention,Economic Sciences > Organization and management of enterprises
patente,patent,Medical Sciences > Pharmaceutical Technology
patente,patent,Technological Sciences > Projects
patente,patent,Economic Sciences > General economics
patroi,standard,Medical Sciences > Pharmaceutical Technology
patroi,standard,Chemistry > Analytical chemistry
patroi,pattern,Technological Sciences > Computer technology
permitibitate,absolute permittivity; permittivity,Physics > Electro-magnetism
permitibitate,permittivity,Physics > General Physics specialities
permitibitate,permitivitty,Technological Sciences > Telecommunications technology
permitibitate,permittivity,Physics > Aplied Physics
permitibitate,permitivity,Technological Sciences > Electrical technology and engineering
perturbazio,perturbation,Physics > Aplied Physics
perturbazio,disturbance; perturbation,Technological Sciences > Telecommunications technology
perturbazio,disturbance; perturbation,Physics > Electro-magnetism
perturbazio,perturbation,Technological Sciences > Environmental technology and engineering
perturbazio,perturbance,Economic Sciences > Econometrics
perturbazio,perturbation,Physics > Theoretical physics
perturbazio,perturbation,Physics > General Physics specialities
Petri plaka,petri dish,Medical Sciences > Microbiology
Petri plaka,Petri plate,Life sciences > Biochemistry and Molecular Biology
pH-metro,pH-meter,Chemistry > Analytical chemistry
pH-metro,pH meter,Technological Sciences > Environmental technology and engineering
pH-metro,pH meter,Life sciences > Biochemistry and Molecular Biology
piezakatze-plano,exploded view drawing,Technological Sciences > Mechanical engineering and technology
piezakatze-plano,assembly drawing,Technological Sciences > Industrial technology
pikor,grain,Life sciences > Cell biology
pikor,granule; grain,Technological Sciences > Environmental technology and engineering
pikor,granule,Medical Sciences > Pharmaceutical Technology
pikor,grain,Earth and Space Sciences > Geology
pila,pushdown storage; stack,Technological Sciences > Computer technology
pila,cell; electrochemical cell; electrochemicall cell; voltaic cell,Physics > Electro-magnetism
pila,electric cell; eletrochemical cell; voltaic cell,Technological Sciences > Electronic technology
pila,cell; galvanic cell,Chemistry > Physical chemistry
pitzadura,crack,Technological Sciences > Construction technology
pitzadura,crack; fissure,Technological Sciences > Environmental technology and engineering
pitzadura,cleft,Earth and Space Sciences > Geology
plaka,plate,Technological Sciences > Environmental technology and engineering
plaka,radiograph,Medical Sciences > Medical diagnostic and Treatment Technology
plaka,plate,Technological Sciences > Electronic technology
plaka,plate; sheet,Physics > Electro-magnetism
plaka,plate,Physics > Aplied Physics
plaka,plate,Earth and Space Sciences > Geology
plaka,plate,Technological Sciences > Electrical technology and engineering
plaka,plate,Medical Sciences > Pharmaceutical Technology
plaka,plate,Technological Sciences > Construction technology
plaka motore,motor end plate,Life sciences > Human physiology
plaka motore,end plate,Life sciences > Animal Biology
plangintza,planification,Technological Sciences > Environmental technology and engineering
plangintza,planning,Economic Sciences > Organization and management of enterprises
plangintza,planning; work planning,Technological Sciences > Projects
plangintza,planning,Technological Sciences > Instrumentation technology
plangintza,schedule,Technological Sciences > Computer technology
plano,plane,Physics > Optics
plano,plane,Physics > General Physics specialities
plano,plane,Mathematics > Analysis and functional analysis
plano,plane,Technological Sciences > Construction technology
plano,drawing,Technological Sciences > Mechanical engineering and technology
plano,plan,Technological Sciences > Projects
plano,plane,Mathematics > Algebra
plano ebakitzaile,cutting plane,Technological Sciences > Industrial technology
plano ebakitzaile,secant plane,Mathematics > Analysis and functional analysis
plano proiektatzaile,edgeview plane; inclined plane,Technological Sciences > Industrial technology
plano proiektatzaile,plane as a line view; plane as an edge view,Technological Sciences > Mechanical engineering and technology
plasma,plasm,Life sciences > Animal Biology
plasma,plasma,Chemistry > Analytical chemistry
plasma,plasma; serum,Medical Sciences > Microbiology
plasma,blood plasma; plasma,Life sciences > Biochemistry and Molecular Biology
plasma,plasma,Medical Sciences > Pharmacology
plasma,plasma,Medical Sciences > Pharmaceutical Technology
plasma,plasma,Physics > Mechanics
plasmido,plasmid,Life sciences > Microbiology
plasmido,plasmid,Life sciences > Biochemistry and Molecular Biology
plasmido,plásmido,Life sciences > Cell biology
plasmido,plasmid,Medical Sciences > Microbiology
polaritate,polarity,Chemistry > Analytical chemistry
polaritate,polarity,Life sciences > Biochemistry and Molecular Biology
polaritate,polarity,Physics > Aplied Physics
polaritate,polarity,Technological Sciences > Electrical technology and engineering
polaritate,polaruty,Earth and Space Sciences > Geology
polaritate,polarity,Technological Sciences > Telecommunications technology
polaritate,polarity,Medical Sciences > Pharmaceutical Technology
polaritate,polarity,Technological Sciences > Environmental technology and engineering
polarizatu,polarize,Physics > General Physics specialities
polarizatu,polarize,Physics > Electro-magnetism
polarizatu,polarise,Technological Sciences > Electrical technology and engineering
polarizatzaile,polarizer,Physics > Electro-magnetism
polarizatzaile,polarizator,Physics > Theoretical physics
polarizatzaile,polarizer,Physics > Optics
polarizazio-plano,polarization plane,Physics > Electro-magnetism
polarizazio-plano,plane of polarization,Technological Sciences > Telecommunications technology
polimerizazio-erreakzio,polymerization reaction,Technological Sciences > Chemical technology and engineering
polimerizazio-erreakzio,polymerase reaction,Life sciences > Biochemistry and Molecular Biology
polimetro,polymeter,Physics > Aplied Physics
polimetro,multimeter; multitester,Technological Sciences > Electronic technology
polimorfismo,polimorfism,Medical Sciences > Pharmacology
polimorfismo,polymorphism,Technological Sciences > Computer technology
polimorfismo,polymorphism,Medical Sciences > Pharmaceutical Technology
politika fiskal,fiscal policy,Economic Sciences > Economic theory
politika fiskal,fiscal policy; tax policy,Economic Sciences > General economics
polo,cell pole,Life sciences > Cell biology
polo,pole,Technological Sciences > Environmental technology and engineering
polo,pole,Physics > Aplied Physics
polo,pole,Physics > General Physics specialities
polo,pole,Technological Sciences > Electrical technology and engineering
polo,pole,Physics > Theoretical physics
polo,pole,Physics > Electro-magnetism
ponpa,pump,Medical Sciences > Pharmaceutical Technology
ponpa,pump,Physics > Fluids (physics of)
ponpa,pump,Technological Sciences > Electrical technology and engineering
ponpa,pump,Technological Sciences > Environmental technology and engineering
ponpa,bomb,Chemistry > Physical chemistry
ponpa,pump,Medical Sciences > Pharmacology
poro,poro,Life sciences > Cell biology
poro,pore,Technological Sciences > Environmental technology and engineering
poro,pore,Chemistry > Analytical chemistry
poro,pore,Earth and Space Sciences > Geology
poro,pore,Medical Sciences > Pharmaceutical Technology
porrot,failure,Mathematics > Statistics
porrot,bankruptcy,Economic Sciences > Organization and management of enterprises
posizio,position,Physics > Aplied Physics
posizio,position,Physics > Electro-magnetism
posizio,position,Technological Sciences > Computer technology
posizio,position,Physics > General Physics specialities
posizio,bay,Technological Sciences > Electrical technology and engineering
posizio,position,Technological Sciences > Construction technology
posizio,position,Physics > Mechanics
posizio,position,Technological Sciences > Industrial technology
potentzia,potency,Medical Sciences > Pharmacology
potentzia,power,Physics > Electro-magnetism
potentzia,power,Economic Sciences > Econometrics
potentzia,power,Technological Sciences > Telecommunications technology
potentzia,power,Physics > Mechanics
potentzia,power,Technological Sciences > Electrical technology and engineering
potentzia,power,Physics > Aplied Physics
potentzia,power,Technological Sciences > Electronic technology
potentzia,power,Physics > General Physics specialities
potentzia,power,Technological Sciences > Environmental technology and engineering
potentzia-fluxu,power flow; power flux,Technological Sciences > Electrical technology and engineering
potentzia-fluxu,power flux,Technological Sciences > Telecommunications technology
potentzia-fluxu,power flow,Physics > Electro-magnetism
potentzia-xurgapen,absorption of power,Physics > Electro-magnetism
potentzia-xurgapen,power dissipation,Technological Sciences > Electronic technology
potentzial,potential,Physics > Theoretical physics
potentzial,electric potential; potential,Technological Sciences > Electronic technology
potentzial,potential,Physics > Thermodynamics
potentzial,potential,Physics > Aplied Physics
potentzial,potential,Physics > Electro-magnetism
potentzial,potential,Physics > General Physics specialities
potentzial,potential,Chemistry > Analytical chemistry
potentzial-diferentzia,potential difference,Physics > Aplied Physics
potentzial-diferentzia,potential difference,Physics > Thermodynamics
potentzial-diferentzia,potential difference; tension; voltage,Physics > Electro-magnetism
potentzial-diferentzia,potential difference; voltage,Technological Sciences > Electronic technology
potentzial-diferentzia,voltage,Physics > General Physics specialities
potentzial-diferentzia,potential difference; potential difference; voltage,Technological Sciences > Electrical technology and engineering
potentzial-diferentzia,potential; voltage,Life sciences > Animal Biology
potentzial-diferentzia,standard cell potential,Chemistry > Physical chemistry
prebentzio-neurri,prevention measures,Life sciences > Microbiology
prebentzio-neurri,preventive measure,Medical Sciences > Nutritional sciences
prezipitatu-ontzi,beaker,Technological Sciences > Environmental technology and engineering
prezipitatu-ontzi,glass beaker,Chemistry > Physical chemistry
prezipitatu-ontzi,beaker,Chemistry > Organic chemistry
prezipitatu-ontzi,beaker,Life sciences > Biochemistry and Molecular Biology
probabilitate-dentsitate,probability density,Physics > Thermodynamics
probabilitate-dentsitate,density function,Mathematics > Statistics
probabilitate-dentsitate,probability density,Physics > General Physics specialities
probabilitate-dentsitate,probability density,Physics > Theoretical physics
profil ijeztu,rolled profile,Technological Sciences > Mechanical engineering and technology
profil ijeztu,laminate profile,Technological Sciences > Industrial technology
profil ijeztu,rolled section,Technological Sciences > Construction technology
profil-bista,profile view,Technological Sciences > Mechanical engineering and technology
profil-bista,side view,Technological Sciences > Industrial technology
programazio,programming,Technological Sciences > Computer technology
programazio,programming,Technological Sciences > Projects
programazio,programming,Mathematics > Analysis and functional analysis
programazio,programming,Technological Sciences > Telecommunications technology
programazio,scheduling,Economic Sciences > Organization and management of enterprises
prokarioto,prokaryote,Life sciences > Cell biology
prokarioto,prokaryote,Medical Sciences > Microbiology
prokarioto,prokaryotic,Life sciences > Microbiology
proliferazio zelular,proliferation,Life sciences > Cell biology
proliferazio zelular,cell proliferation,Life sciences > Biochemistry and Molecular Biology
propietate,properties,Chemistry > Analytical chemistry
propietate,property,Mathematics > Analysis and functional analysis
propietate,property,Medical Sciences > Pharmaceutical Technology
propietate,property,Mathematics > Algebra
proteinen sintesi,translation,Life sciences > Biochemistry and Molecular Biology
proteinen sintesi,protein synthesis,Chemistry > Organic chemistry
protozoo,protozoa,Life sciences > Cell biology
protozoo,protozoa,Technological Sciences > Environmental technology and engineering
protozoo,protozoan,Medical Sciences > Pharmacology
protozoo,protozoa,Medical Sciences > Microbiology
protozoo,protozoa; protozoon,Life sciences > Microbiology
prozedura,method; procedure; subroutine,Technological Sciences > Computer technology
prozedura,procedure,Chemistry > Analytical chemistry
prozedura,procedure,Physics > Electro-magnetism
prozedura,procedure,Medical Sciences > Pharmacology
prozedura,procedure,Technological Sciences > Projects
prozedura,procedure,Physics > Aplied Physics
prozedura,procedure,Medical Sciences > Pharmaceutical Technology
prozesu-denbora,process time,Economic Sciences > Organization and management of enterprises
prozesu-denbora,processing time,Technological Sciences > Environmental technology and engineering
puntu-hodei,scater plot; scatterplot,Mathematics > Statistics
puntu-hodei,scatter diagram,Economic Sciences > Econometrics
RNA mezulari,RNA messenger,Chemistry > Organic chemistry
RNA mezulari,messenger RNA,Life sciences > Biochemistry and Molecular Biology
RNA mezulari,messenger RNA,Life sciences > Cell biology
RNA mezulari,messenger RNA,Life sciences > Microbiology
S<sub>v</sub>,entropy of vaporization; vaporization entropy,Chemistry > Physical chemistry
S<sub>v</sub>,volatile solids; VS,Technological Sciences > Environmental technology and engineering
sabel,antinode,Physics > General Physics specialities
sabel,abdomen,Medical Sciences > Pharmacology
saiakuntza,experiment,Physics > General Physics specialities
saiakuntza,experiment; test; trial,Technological Sciences > Environmental technology and engineering
saiakuntza,experiment,Physics > Electro-magnetism
saiakuntza,assay,Medical Sciences > Pharmaceutical Technology
saiakuntza,test,Technological Sciences > Electrical technology and engineering
saiakuntza,experiment,Physics > Aplied Physics
saio,assay,Life sciences > Biochemistry and Molecular Biology
saio,trial,Medical Sciences > Pharmacology
saio,test,Physics > General Physics specialities
saio-hodi,sample tube; test tube,Chemistry > Organic chemistry
saio-hodi,assay tube; tube,Life sciences > Biochemistry and Molecular Biology
saio-hodi,test tube,Technological Sciences > Environmental technology and engineering
saio-hodi,test tube,Chemistry > Physical chemistry
sakabanaketa,dispersion,Technological Sciences > Environmental technology and engineering
sakabanaketa,scattering,Physics > Theoretical physics
sakabanatze,dispersion,Economic Sciences > Econometrics
sakabanatze,dispersion; scatter; spread,Technological Sciences > Construction technology
sakabanatze,dispersion; scattering,Physics > Electro-magnetism
sakabanatze,spread,Mathematics > Statistics
sakabanatze,dispersion,Technological Sciences > Environmental technology and engineering
sakabanatze-diagrama,scater plot; scatterplot,Mathematics > Statistics
sakabanatze-diagrama,scatter diagram,Economic Sciences > Econometrics
salerosketa,bargain and sale; buying and selling,Economic Sciences > Organization and management of enterprises
salerosketa,buying and selling; purchase and sale,Economic Sciences > General economics
salmenta-prezio,sale price; sales price; selling price,Economic Sciences > Organization and management of enterprises
salmenta-prezio,sale price; selling price,Economic Sciences > General economics
salmenta-prezio,selling price,Technological Sciences > Projects
salneurri,sale price,Medical Sciences > Pharmacology
salneurri,sale price; selling price,Economic Sciences > General economics
salneurri,sale price; sales price; selling price,Economic Sciences > Organization and management of enterprises
salneurri,selling price,Technological Sciences > Projects
sarbide,access,Technological Sciences > Telecommunications technology
sarbide,entrance,Medical Sciences > Pharmaceutical Technology
sarbide,access,Technological Sciences > Instrumentation technology
sare,network,Technological Sciences > Telecommunications technology
sare,lattice,Physics > Thermodynamics
sare,network,Technological Sciences > Instrumentation technology
sare,mesh,Medical Sciences > Pharmaceutical Technology
sare,grid; network,Technological Sciences > Electrical technology and engineering
sare,network; grid,Technological Sciences > Computer technology
sare elektriko,electric network; electrical network; electrical power network,Technological Sciences > Electrical technology and engineering
sare elektriko,electric network,Physics > Electro-magnetism
sare elektriko,electrical network,Technological Sciences > Environmental technology and engineering
sare kristalino,crystal lattice,Physics > Aplied Physics
sare kristalino,lattice,Chemistry > Physical chemistry
sareta,lattice,Technological Sciences > Electrical technology and engineering
sareta,lattice,Technological Sciences > Mechanical engineering and technology
sareta,lattice,Technological Sciences > Computer technology
sareta,truss,Technological Sciences > Construction technology
sarrera,input,Technological Sciences > Computer technology
sarrera,revenue,Economic Sciences > General economics
sarrera,input,Technological Sciences > Instrumentation technology
sarrera,revenue,Economic Sciences > Organization and management of enterprises
sarrera,input; input-signal,Technological Sciences > Telecommunications technology
sarrera,revenue,Economic Sciences > Economic theory
sarrera,input,Technological Sciences > Electrical technology and engineering
segida,progression; sequence,Physics > Electro-magnetism
segida,sequence,Technological Sciences > Computer technology
segida,sequence,Mathematics > Algebra
segida,serie; succession,Earth and Space Sciences > Geology
segida,progression; sequence,Mathematics > Analysis and functional analysis
segida,sequence,Physics > General Physics specialities
segida,succession,Technological Sciences > Environmental technology and engineering
segmentu,line segment; segment,Technological Sciences > Mechanical engineering and technology
segmentu,line segment; segment,Physics > Electro-magnetism
segmentu,segment,Life sciences > Animal Biology
segmentu,line segment; segment,Mathematics > Analysis and functional analysis
segurtasun,security,Medical Sciences > Pharmaceutical Technology
segurtasun,safety,Technological Sciences > Instrumentation technology
segurtasun,security,Medical Sciences > Pharmacology
segurtasun,safety,Technological Sciences > Projects
segurtasun-neurri,safety measure; security measure,Technological Sciences > Instrumentation technology
segurtasun-neurri,safety measure,Technological Sciences > Projects
segurtasun-neurri,safety measures,Physics > Aplied Physics
seinale analogiko,analog signal,Technological Sciences > Electronic technology
seinale analogiko,analog signal,Technological Sciences > Telecommunications technology
seinale analogiko,analogical signal,Chemistry > Analytical chemistry
seinale analogiko,analog signal,Technological Sciences > Instrumentation technology
sektore,circle sector; sector; sector of circle,Mathematics > Analysis and functional analysis
sektore,sector,Technological Sciences > Computer technology
sektore,sector,Economic Sciences > Economic theory
sekuentzia,progression; sequence,Mathematics > Analysis and functional analysis
sekuentzia,discrete signal; discrete-time signal,Technological Sciences > Telecommunications technology
sekuentzia,sequence,Technological Sciences > Electrical technology and engineering
sekuentzia,sequence,Life sciences > Cell biology
sekuentzia,sequence,Life sciences > Biochemistry and Molecular Biology
sekuentzia,sequence,Technological Sciences > Environmental technology and engineering
sekuentzia,sequence,Technological Sciences > Computer technology
sendotasun,stability,Technological Sciences > Environmental technology and engineering
sendotasun,robustness,Economic Sciences > Econometrics
sendotasun,robustness,Technological Sciences > Computer technology
serie-elkarketa,association in series; series conection,Physics > Electro-magnetism
serie-elkarketa,series combination,Technological Sciences > Electrical technology and engineering
serie-elkarketa,series connection,Technological Sciences > Electronic technology
serie-konexio,association in series; series conection,Physics > Electro-magnetism
serie-konexio,series connection,Technological Sciences > Electronic technology
serie-konexio,series connection,Physics > Aplied Physics
serie-konexio,series connection,Technological Sciences > Electrical technology and engineering
serie-konexio,cascade conexion; series conexion,Technological Sciences > Telecommunications technology
seriezko garapen,series development,Technological Sciences > Telecommunications technology
seriezko garapen,series expansion,Mathematics > Analysis and functional analysis
seriezko garapen,series expansion,Physics > General Physics specialities
seromota,serovar,Medical Sciences > Microbiology
seromota,serotype,Medical Sciences > Public health
simetria,symmetry,Mathematics > Algebra
simetria,symmetry,Physics > Electro-magnetism
simetria,symmetry,Mathematics > Analysis and functional analysis
simetria,simetry,Physics > Optics
simetria,symmetry,Technological Sciences > Telecommunications technology
simetria,symetry,Technological Sciences > Construction technology
simetria,symmetry,Physics > Theoretical physics
simetria,symmetry,Physics > General Physics specialities
sinapsi,sinapse,Life sciences > Animal Biology
sinapsi,synapsis,Chemistry > Organic chemistry
sinapsi,synapse,Life sciences > Cell biology
sinergia,synergy,Technological Sciences > Environmental technology and engineering
sinergia,synergia,Medical Sciences > Pharmacology
sistema konposatu,compound system,Physics > Electro-magnetism
sistema konposatu,composite system,Physics > Thermodynamics
sistema sortzaile,generating set; generator,Mathematics > Analysis and functional analysis
sistema sortzaile,generating system; system of generators,Mathematics > Algebra
soinu-intentsitate,sound volume,Physics > Aplied Physics
soinu-intentsitate,acoustic intensity; sound intensity,Physics > General Physics specialities
soinu-intentsitate,sound intensity,Physics > Electro-magnetism
solido zurrun,rigid solid,Physics > Aplied Physics
solido zurrun,rigid body,Physics > General Physics specialities
solido zurrun,rigid solid,Technological Sciences > Construction technology
solido zurrun,rigid body; solid body,Physics > Mechanics
solido zurrun,rigid body; solid body,Physics > Electro-magnetism
sorgailu elektriko,electric generator; electrical generator; generator,Technological Sciences > Electronic technology
sorgailu elektriko,electrical generator,Technological Sciences > Electrical technology and engineering
sorgailu elektriko,electric generator,Physics > Electro-magnetism
sorta,pencil,Mathematics > Analysis and functional analysis
sorta,batch,Medical Sciences > Nutritional sciences
sorta,batch,Economic Sciences > Organization and management of enterprises
sorta,beam,Medical Sciences > Medical diagnostic and Treatment Technology
sortzaile,generating line,Technological Sciences > Mechanical engineering and technology
sortzaile,generator,Physics > Theoretical physics
sortzaile,generating line; generator,Technological Sciences > Industrial technology
substratu,substrate; substratum,Earth and Space Sciences > Geology
substratu,substract,Medical Sciences > Pharmaceutical Technology
substratu,substrate; substratum,Technological Sciences > Environmental technology and engineering
substratu,substrate,Life sciences > Animal Biology
substratu,substrate,Life sciences > Cell biology
substratu,substrate,Chemistry > Organic chemistry
substratu,substratum,Technological Sciences > Electronic technology
substratu,substrate,Life sciences > Biochemistry and Molecular Biology
sulfamida,sulphamide,Medical Sciences > Pharmacology
sulfamida,sulfonamide,Medical Sciences > Microbiology
sulfonamida,sulphonamide,Medical Sciences > Pharmacology
sulfonamida,sulfonamide,Chemistry > Organic chemistry
